Animal Name,Animal Type,Description,KINGDOM,PHYLUM,SUBPHYLUM,CLASS,ORDER,FAMILY,GENUS,SUBFAMILY,SUBORDER,SUPERFAMILY,SUBCLASS,INFRACLASS,SUPERORDER,CONTINENTS,SUBCONTINENTS,COUNTRIES,BIOGEOGRAPHICAL REALMS,WWF BIOMES,INTRODUCED COUNTRIES,OCEANS,REGIONS,Distribution Info,Population threats,Population number,Ecological niche,Conservation,POPULATION TREND,POPULATION STATUS
Philippine Flying Lemur,"Flying lemur, Gliding lemur, Philippine colugo, Kagwang","The Philippine flying lemur or Philippine colugo (Cynocephalus volans ), known locally as kagwang, is one of two species of colugo or ""flying lemurs."" It is monotypic of its genus. Although called a flying lemur, it cannot fly and is not a lemur. Instead, it glides as it leaps among trees.
The kagwang belongs to the order Dermoptera that contains only two species, one of which is found in the Philippines, while the other, the Sunda flying lemur, is found in Indonesia, Thailand, Malaysia, and Singapore. Recent research from genetic analysis suggests two other species, the Bornean flying lemur and the Javan flying lemur, may exist, as well, but they have yet to be officially classified.
Both species of Dermoptera are classified under the grandorder Euarchonta, which includes treeshrews and primates, as well as an extinct order of mammals, the Plesiadapiformes.
SHOW LESS",Animalia,Chordata,Vertebrata,Mammalia,Dermoptera,Cynocephalidae,Cynocephalus,,,,,,,Asia,Southeast Asia,Philippines,Indomalayan,Tropical moist forests,,,,"The Philippine flying lemur inhabits the islands of Mindanao, Basilan, Leyte, Samar, Bohol and others in the southern Philippines. It lives in primary forest, secondary forest, rubber plantations and coconut groves in lowland and mountainous areas.","The Philippine flying lemur is under threat due to the loss of forest habitat, logging and the development of land for agriculture. The remaining members of this species now inhabit isolated fragments of forest. They are also hunted both for their soft fur and for their meat, considered a local delicacy.","This species is widespread and common. According to the Evolutionarily Distinct and Globally Endangered (EDGE) resource, the total population size of the Philippine flying lemur is around 100, 000 individuals. Currently this species is classified as Least Concern (LC) and its numbers today remain stable.",Not much information is available about the Philippine flying lemur's role in their ecosystem services.,,Stable,Least concern (LC)
Philippine Tarsier,,"Known as the “world’s smallest monkey” because of its similarity in appearance to that primate, tarsiers, along with lemurs, tree shrews, and lorises, actually are members of a more primitive suborder of Prosimii or prosimian. They are amongst the oldest land species that have existed continuously in the Philippines, dating from the early Eocene period, 45 million years ago. The Philippine tarsier has various distinctive habits and characteristics that make it an object of both popular curiosity and scientific research.",Animalia,Chordata,Vertebrata,Mammalia,Primates,Tarsiidae,Carlito,,,,,,,Asia,Southeast Asia,Philippines,Indomalayan,Tropical moist forests,,,,"This species is native to the Philippines, where it lives on the islands of Leyte, Samar, Dinagat, Siargao, Bohol, Mindanao, Basilan, and Maripipi. Philippine tarsiers inhabit areas of tall grasses, bamboo shoots, small trees, and bushes in tropical rainforests. They prefer the jungle canopy and leap from limb to limb.","Tarsiers are under severe threat by trappers and hunters, who shake them out of the trees or chop off the branches of trees where they live. They are also popular as pets, especially in Mexico. However, tarsiers do not often live long in captivity, as being captured traumatizes them so much that they will beat their head against the cage, to the point of killing themselves. These animals are also significantly affected by the increasing deforestation of their native habitat.","According to Primate GCAP Report, the total population size of the Philippine tarsier is less than 2,500 individuals, including 700 tarsiers in Bohol’s Forest. Currently, this species is classified on the IUCN Red List as near threatened (NT) and its numbers continue to decrease.","Being predators, Philippine tarsiers may help to structure insect communities. To the extent that they are preyed upon by other animals, they may impact predator populations.",,Decreasing,Near Threatened (NT)
Visayan Warty Pig,,"The Visayan warty pig (Sus cebifrons ) is a critically endangered species in the pig genus (Sus ). It is known by many names in the region (depending on the island and linguistic group) with most translating into 'wild pig': baboy ilahas ('wild pig' in Hiligaynon,Cebuano and Waray), baboy talonon ('forest pig' in Hiligaynon), baboy sulop ('dark pig' in Cebuano), and baboy ramo ('wild boar' in Waray).
The Visayan warty pig is critically endangered due to habitat loss and hunting. It is believed to be extinct in four of the islands in its original native range, with only small surviving populations in Negros and Panay. Due to the small numbers of remaining Visayan warty pigs in the wild, little is known of their behaviors or characteristics outside of captivity.
SHOW LESS",Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Suidae,Sus,,,,,,,Asia,Southeast Asia,Philippines,Indomalayan,"Tropical moist forests,",,,,"Found in the past throughout the Visayan Islands, which is the central archipelago in the Philippines, these pigs are now extinct in at least 98% of their former range, the few surviving populations concentrated in the remaining habitat on the Negros and Panay islands of Negros. This species requires dense forested areas. In the past, they occurred in primary and secondary forests in mountainous regions and grasslands.","The Visayan warty pig is extinct on 3 of the 6 main islands where it lived and is in danger of disappearing from the fourth. Deforestation has been widespread, so habitat loss is one of the major causes of the sharp decline in numbers, along with hunting. Interbreeding with domestic pigs is a further threat. They are also killed by local farmers, who see them as pests; they are hunted extensively for local consumption, caught in wire snares and pitfall traps, and sometimes killed by explosive baiting devices buried in the ground, and are excavated when rooting.","No estimate of population size is available for this species. According to the Chester Zoo resource, only 200 pigs are thought to survive in the Philippines in their native habitat. Currently, this species is classified as Critically Endangered (CR) on the IUCN Red List and its numbers continue to decrease.",Visayan warty pigs appear to play a major role in dispersing the seeds of some species of plants.,,Decreasing,Critically endangered (CR)
Philippine Crocodile,"Mindoro crocodile, Buwaya, Philippine freshwater crocodile, Bukarot","The Philippine crocodile (Crocodylus mindorensis ), also known as the Mindoro crocodile, the Philippine freshwater crocodile, the bukarot in Ilocano, and more generally as a buwaya in most Filipino lowland cultures, is one of two species of crocodiles found in the Philippines; the other is the larger saltwater crocodile (Crocodylus porosus). The Philippine crocodile, the species endemic only to the country, went from data deficient to critically endangered in 2008 from exploitation and unsustainable fishing methods, such as dynamite fishing. Conservation methods are being taken by the Dutch/Filipino Mabuwaya foundation, the Crocodile Conservation Society and the Zoological Institute of HerpaWorld in Mindoro island. It is strictly prohibited to kill a crocodile in the country, and it is punishable by law.",Animalia,Chordata,Vertebrata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,Crocodylinae,,,,,,Asia,Southeast Asia,Philippines,Indomalayan,Tropical moist forests,,,,"Philippine crocodiles are historically indigenous throughout the islands of the Philippines, including Dalupiri, Luzon, Mindoro, Samar, Jolo, Masbate, Negros, Busuanga and Mindanao. It is now limited to the north of Luzon and the southwest of the Mindanao islands. This species makes its home on estuarine and coastal shores. Most of their habitat is in freshwater areas and may include ponds, marshes and small rivers.","The huge population decline of this species in the past was due to excessive hunting for commercial use. Today, destruction of their habitat is the most serious threat to its survival, as rainforests are cleared throughout the region for rice fields to feed the increasing human population. The infamous 'saltwater' or estuarine crocodile, one of the world’s largest, with a reputation for being a man-eater, lives in the same area and undoubtedly contributes to intolerance by locals of any crocodile species, so the small Philippine crocodile is also often killed when encountered.","According to the IUCN Red List, the total Philippine crocodile population size is around 92-137 mature individuals. Currently this species is classified as Critically Endangered (CR) and its numbers today are decreasing.","Due to their frugivorous diet, these animals act as important seed dispersers of some fruiting plants, which they do through their faces. This also makes them key pollinators of their range, benefiting the ecosystem of their habitat.",,Decreasing,Critically endangered (CR)
Giant Golden-Crowned Flying Fox,"Giant fruit bat, Golden-capped fruit bat","The Giant golden-crowned flying fox (Acerodon jubatus) is native and endemic exclusively to the Philippines. Otherwise called the Golden-capped Fruit Bat, this animal is the largest and one of the rarest bats around the globe, currently classified as Endangered. Moreover, this animal is threatened with extinction as a result of continuous poaching and destruction of its forest habitat. These massive, giant bats belong to the group of megabats. There is very little information on the life expectancy of this species, although captive individuals are known to live as long as 23 years, while those in the wild are believed to live less - up to 15 years.",Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,Pteropodidae,Acerodon,Bovinae,,,,,,Asia,Southeast Asia,Philippines,Indomalayan,"Mangrove,",,,,"These bats are found in the Philippines, the Palawan region as well as the Batanes and Babuyan island groups. The preferred habitat of these animals is large, primary, or mature secondary forests. They prefer areas uninhabited by humans. They also use river corridors called riparian zones because the fig trees located near rivers are the bats' main source of food.","One of the biggest threats to the population of these bats is the loss of their natural habitat, associated with logging and farming projects. This factor is compounded by their dependence on fig trees, which grow exclusively in old-growth forests. The Golden-crowned flying foxes suffer from hunting for food and the animal trade. Currently, there are 3 large roost sites, where these bats are protected from hunting. However, when going beyond these roosts to find food, they often become victims of hunters.","According to the IUCN Red List, the rough estimate of the total Giant golden-crowned flying foxes’ population is around 10,000 individuals (and probably no more than 20,000 individuals). Currently, this species is classified as Endangered (EN) and its numbers continue to decrease.","Through seed dispersal, these birds help ensure the success of their forest habitats.",,Decreasing,Endangered (EN)
Luzon Bleeding-Heart,"Bleeding heart dove, Bleeding heart pigeon, Bleeding-heart dove, Bleeding-heart pigeon, Blood-breasted pigeon, Luzon blood-breasted pigeon, Luzon puñalada","The Luzon bleeding-heart (Gallicolumba luzonica ) is one of a number of species of ground dove in the genus Gallicolumba that are called ""bleeding-hearts"". The native name in Tagalog is punay. It is also known as paloma de punalada 'stabbed pigeon'. The Luzon Bleeding-heart is the species in which the ""blood"" feature is most pronounced, with the reddish hue extending down the belly, furthering the illusion of blood having run down the bird's breast.",Animalia,Chordata,Vertebrata,Aves,Columbiformes,Columbidae,Gallicolumba,,,,,,,Asia,Southeast Asia,Philippines,Indomalayan,"Tropical dry forest,",,,,"This bird is endemic to the island of Luzon and two other islands in northern Philippines. Here there are many populations that are isolated, and on the island of Polillo, a very small population was recently rediscovered, and on Catanduanes only one specimen has been found. This species lives in lowland forest and the majority of the time it feeds on the forest floor. These birds nest and roost in trees of low to medium height, shrubbery and vines.","Luzon bleeding-hearts suffer from habitat fragmentation and loss, caused by the expansion of agriculture and deforestation for timber. This species is also vulnerable to hunting and also trapping for the trade in pets, as it popular as a cage bird.",The IUCN Red List and other sources do not provide the Luzon bleeding-heart total population size. Currently this species is classified as Near Threatened (NT) on the IUCN Red List and its numbers today are decreasing.,,,Decreasing,Near Threatened (NT)
Tamaraw,Mindoro dwarf buffalo,"The tamaraw (Bubalus mindorensis) is a small hoofed mammal native to the Philippines. It is the only endemic Philippine bovine. It is believed, however, to have once also thrived on the larger island of Luzon. The tamaraw was originally found all over Mindoro, from sea level up to the mountains (2000 m above sea level), but because of human habitation, hunting, and logging, it is now restricted to only a few remote grassy plains and is now a critically endangered species.",Animalia,Chordata,,Mammalia,Artiodactyla,Bovidae,Bubalus,Cervinae,,,,,,Asia,Southeast Asia,Philippines,Indomalayan,"Flooded grasslands and savannas ,",,,,"Tamaraw are found only on the island of Mindoro in the Philippines. They prefer tropical highland forested areas and are usually found in thick brush, near open-canopied glades. Within their mountainous environment, tamaraws will usually be found not far from sources of water. They live in moist areas such as marshes and grasslands.","The biggest threat to tamaraw is habitat loss due to infrastructure development, logging, and agriculture. Hunting for food and sustenance is another serious threat that affects the species' numbers. Tamarw also suffer from poaching and diseases from livestock.","According to the IUCN Red List, the total population size of tamaraw is around 220-300 mature individuals. This species’ numbers are decreasing and it is currently classified as Critically Endangered (CR) on the IUCN Red List.","Philippine pangolins help control populations of ants, termites, and other insects that are included in their diet.",,Decreasing,Critically endangered (CR)
,,,,,Vertebrata,,,,,Cervinae,,,,,,,,,,,,,,,,,Philippine pit vipers help control populations of small rodents and thus keep their natural habitat healthy.,,,
Philippine Cobra,"Northern Philippine cobra , Philippine spitting cobra, Northern philippine cobra",The Philippine cobra (Naja philippinensis ) is a highly venomous spitting cobra that defensively shoots its venom directly from its fangs. It was described by American herpetologist Edward Harrison Taylor in 1922.,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Elapidae,Naja,Alcedininae,Serpentes,,,,,Asia,Southeast Asia,Philippines,Indomalayan,Tropical moist forests,,,,"Philippine cobras occur mostly in the northern regions of the Philippines. They can be found on the islands of Luzon, Mindoro, Catanduanes, Azria, and Masbate. These snakes can be found in low-lying plains and forested regions, along with open fields, grasslands, dense jungle, agricultural fields, and human settlements. Philippine cobras are particularly fond of water, so they can be found very close to ponds, rivers, or large puddles of water.",The biggest threats to Philippine cobras include habitat destruction and poaching. These snakes are often collected for the exotic food trade or for the pet trade and also suffer persecution in agricultural areas.,"The IUCN Red List and other sources don’t provide the number of the Philippine cobra total population size. Currently, this species is classified as Near Threatened (NT) on the IUCN Red List and its numbers today are decreasing.",,,Decreasing,Near Threatened (NT)
Philippine Pangolin,"Palawan pangolin, Balintong","The Philippine pangolin or Palawan pangolin (Manis culionensis ), also locally known as balintong, is a pangolin species endemic to the Palawan province of the Philippines. Its habitat includes primary and secondary forests, as well as surrounding grasslands. This species is moderately common within its limited range, but is at risk due to heavy hunting because of its valued scales and meat. This species is distinguished from the closely related Sunda pangolin by its smaller body-to-tail ratio, smaller scales, and a shorter head. It is listed as Critically Endangered by the IUCN, and Critically Endangered by the Palawan Council for Sustainable Development (PCSD).",Animalia,Chordata,Vertebrata,Mammalia,Pholidota,Manidae,Manis,Viverridae,Cryptodira,,,,,Asia,Southeast Asia,Philippines,Indomalayan,Tropical moist forests,,,,"Philippine pangolins are native to the Palawan province of the Philippines. They live in primary and secondary forests, as well as surrounding grasslands, and frequently visit agricultural areas.","Philippine pangolins, much like every other species of pangolin, are threatened due to heavy hunting because of their valued scales and meat. Other than the meat, which is a delicacy in certain Asian cultures, Philippine pangolins are hunted for their organs, and skin, which are used in traditional medicine.","The IUCN Red List and other sources don’t provide the number of the Philippine pangolin total population size. Currently, this species is classified as Critically Endangered (CR) on the IUCN Red List and its numbers today are decreasing.",,,Decreasing,Critically endangered (CR)
